numUAV,mean_composite,std_composite,ci95_composite,mean_mission_time_s,mean_fleet_energy_MJ,mean_HPC_pct,collision_rate,hpc_target_hit_rate,cohens_d_vs_best
1,0.413559716418852,0.0184804136459167,0.00269979946275286,5938.11111111111,10.5346931357486,86.2174157651739,0,1,0.198087653245975
2,0.269723198132899,1.02673038370124,0.149994810258,3663.89583333333,11.0814242010186,86.1455863315978,0.0166666666666667,1,0
3,0.469120116815418,1.647796850227,0.240726270320883,3087.40972222222,12.2238156474924,85.9612904013336,0.0444444444444444,1,0.145243520276409
4,1.85033849844093,3.27546884120218,0.478512504491221,3095.59027777778,12.9275649116443,86.1658070690893,0.211111111111111,1,0.651201827016995
5,4.84389265442734,3.97192885876818,0.580258191426589,3221.86805555556,13.0979691304426,86.2528283606306,0.577777777777778,1,1.57681268170687
6,6.34297941821261,3.43941513141449,0.502463381063366,3424.01388888889,13.2785060261946,86.2254827252858,0.755555555555556,1,2.39284974036559
7,7.88250233663328,1.9323317744507,0.282293913246631,3579.01388888889,13.6498055832837,86.0347966473902,0.938888888888889,1,4.92014007338051
8,8.26130013982289,1.21194090066233,0.177052172921429,3663.88194444444,14.1464162180176,86.0919113499416,0.977777777777778,1,7.11526240207165
9,8.37482904590684,1.04654148339094,0.152889009344859,3774.81944444444,14.6442712492311,86.1690297319608,0.983333333333333,1,7.81830494572967
10,8.57082811660931,0.122053145659762,0.0178307165301102,3851.45833333333,15.0816033200515,85.9790843554828,1,1,11.3539603233514
11,8.66675134302386,0.117533537060836,0.0171704479289293,4035.65277777778,15.9427565564681,85.9673022367447,1,1,11.4909816962987
12,8.73342528068029,0.0923219631900459,0.0134872947865995,4118.09722222222,16.4990690043593,86.0282676263238,1,1,11.6110182159721
