planner,numUAV,GroupCount,mean_composite_score,mean_mission_time_s,mean_fleet_energy_MJ,mean_HPC_pct,mean_any_collision
decentralized_greedy,1,18,18.7808886255353,3369.44444444444,4.40672257815449,24.1762378276725,0
decentralized_greedy,2,18,18.6207745773077,1894.44444444444,4.40800987045526,23.8939467381619,0
decentralized_greedy,3,18,18.9404494092515,1394.09722222222,4.41746509944894,22.9580812238984,0
decentralized_greedy,4,18,19.0681143164879,1155.20833333333,4.42486290226649,22.6175068755262,0
decentralized_greedy,5,18,20.5575073662135,1009.72222222222,4.4264974354973,22.0777897155478,0.166666666666667
decentralized_greedy,6,18,20.209371908619,913.888888888889,4.42914527415568,21.7657973188341,0.111111111111111
decentralized_greedy,7,18,23.3359091545998,847.916666666667,4.43028838216199,21.6377561087612,0.5
decentralized_greedy,8,18,26.1448867351068,798.263888888889,4.43751103141036,21.2543192593241,0.833333333333333
decentralized_greedy,9,18,26.5276429849399,756.944444444444,4.43714814572697,21.2862956648155,0.888888888888889
decentralized_greedy,10,18,26.4594841719629,731.597222222222,4.44047577321897,20.3091601752715,0.833333333333333
greedy,1,18,23.3492617976906,2938.54166666667,4.40562276461586,9.18338050916018,0
greedy,2,18,21.8287215826992,1530.55555555556,4.41071584679452,13.0110530096061,0
greedy,3,18,22.2886710920414,1129.16666666667,4.42524680043054,14.264253245197,0.111111111111111
greedy,4,18,24.341463513645,941.666666666667,4.42517247738513,13.3403595846173,0.333333333333333
greedy,5,18,28.0608278979379,843.75,4.44114024666456,12.9144761746267,0.777777777777778
greedy,6,18,29.2401557281458,773.263888888889,4.44441407241689,11.9879416632191,0.888888888888889
greedy,7,18,30.3623557235752,725,4.46164911207704,11.4395570105661,1
greedy,8,18,30.4363586170102,689.236111111111,4.44995243463975,11.1014790464989,1
greedy,9,18,30.7003129555149,660.069444444444,4.46903049219594,10.4573984974758,1
greedy,10,18,30.9135692006652,636.458333333333,4.46227727202346,9.7645576735056,1
priority,1,18,0.421045966461134,5998.19444444444,10.6276022090531,86.0678752744912,0
priority,2,18,0.161278657890423,3725.34722222222,11.2345523331204,86.1906374098064,0
priority,3,18,0.125847029403052,3059.93055555556,12.0793327610277,86.1462272604952,0
priority,4,18,3.29316019397551,3065.83333333333,12.7694207186391,86.1857931361927,0.388888888888889
priority,5,18,4.26840155276153,3252.22222222222,13.0663476477205,86.2104861508186,0.5
priority,6,18,7.46227843866223,3486.04166666667,13.0604311645221,86.2312439675784,0.888888888888889
priority,7,18,7.99056858082244,3572.77777777778,13.5989607965135,86.0245401801163,0.944444444444444
priority,8,18,8.50857096618296,3675.90277777778,14.0928394696642,86.1826205996434,1
priority,9,18,8.61822554915701,3866.04166666667,14.579958844317,85.9788094854818,1
priority,10,18,8.73245667018586,4048.05555555556,15.3705108745897,86.2992268890898,1
