terrain,density,seed,numUAV,mission_time_s,fleet_energy_MJ,energy_per_UAV_MJ,HPC_pct,sorties,energy_per_bit_J,any_collision,met_hpc_target,composite_score,is_optimal_for_seed
flat,low,24002,1,6055,10.5769478928538,10.5769478928538,86.6704161979753,12,1048.65850922551,0,1,0.4,0
flat,low,24002,2,3808.75,11.4775091362882,5.73875456814408,86.4454443194601,13,1056.5927985494,0,1,0.13645019511101,1
flat,low,24002,3,3321.25,13.2652990670986,4.42176635569954,86.4454443194601,15,1069.33545918862,0,1,0.14531994895617,0
flat,low,24002,4,3078.75,13.2714032775882,3.31785081939704,86.1079865016873,15,1090.03881323493,1,1,8.12482351468438,0
flat,low,24002,5,3468.75,13.2438470093592,2.64876940187184,86.6704161979753,15,1148.96604181881,0,1,0.209977820526496,0
flat,low,24002,6,3726.25,13.2491955176075,2.20819925293458,85.7705286839145,15,1242.83792900767,0,1,0.29858728186999,0
flat,low,24002,7,3221.25,12.3718398692144,1.76740569560206,85.4893138357705,14,1239.48569505367,0,1,0.195873395978088,0
flat,low,24002,8,4222.5,15.0113520421743,1.87641900527178,87.1766029246344,17,1336.3877685101,1,1,8.48502210916477,0
flat,low,24002,9,4108.75,15.0186621377187,1.6687402375243,85.4893138357705,17,1418.7791512024,1,1,8.51723027276394,0
flat,low,24002,10,3895,15.0398821042773,1.50398821042773,85.4330708661417,17,1414.28747623991,1,1,8.48672476150187,0
flat,low,24002,11,5237.5,18.5718164745878,1.68834695223525,87.007874015748,21,1572.0935314134,1,1,8.89013019739605,0
flat,low,24002,12,4091.25,15.9205266304862,1.32671055254052,85.5455568053993,18,1546.47246417525,1,1,8.62190571283188,0
flat,low,24003,1,6005,10.5871106889229,10.5871106889229,85.6736782262649,12,1041.88904978584,0,1,0.400678030746324,0
flat,low,24003,2,4418.75,13.2345780702025,6.61728903510123,86.1284820920978,15,1041.08819399741,0,1,0.346745276862389,0
flat,low,24003,3,2895,11.48915331036,3.82971777011999,85.5599772598067,13,1057.46750262719,0,1,0.0674784471798347,1
flat,low,24003,4,2873.75,12.3865120864453,3.09662802161133,85.5031267765776,14,1056.10568500799,0,1,0.114243253900167,0
flat,low,24003,5,3178.75,12.3773776009024,2.47547552018049,86.5832859579306,14,1112.17929912719,0,1,0.200163686595245,0
flat,low,24003,6,2971.25,12.368932531255,2.06148875520916,85.5031267765776,14,1146.28595264459,0,1,0.202056008358637,0
flat,low,24003,7,3568.75,14.1420149582866,2.0202878511838,86.0147811256396,16,1224.83391223513,1,1,8.44492856879994,0
flat,low,24003,8,3191.25,14.1613917250256,1.7701739656282,87.0380898237635,16,1182.5130739481,1,1,8.3619681174126,0
flat,low,24003,9,3596.25,14.1439706487113,1.57155229430126,86.4127345082433,16,1271.56067340792,1,1,8.48811229698311,0
flat,low,24003,10,3796.25,15.0252298875356,1.50252298875356,86.3558840250142,17,1347.22444107615,1,1,8.62744456451922,0
flat,low,24003,11,3360,14.1461810358476,1.28601645780433,85.9579306424105,16,1346.35531468786,1,1,8.521380968132,0
flat,low,24003,12,3733.75,15.9040217548739,1.32533514623949,85.5031267765776,18,1395.43309329906,1,1,8.70986027944112,0
flat,low,24004,1,6025,10.5764686014314,10.5764686014314,87.4572405929304,12,1046.99126226374,0,1,0.403963896201995,0
flat,low,24004,2,3556.25,10.5955929823372,5.29779649116859,86.6590649942987,12,1039.77102758415,0,1,0.0864323247847941,0
flat,low,24004,3,2885,11.4930293329932,3.83100977766439,85.1197263397948,13,1070.35458405982,0,1,0.0610152976208415,1
flat,low,24004,4,3726.25,15.0299734550307,3.75749336375767,86.9441277080958,17,1089.15041564284,0,1,0.349160898375483,0
flat,low,24004,5,3640,14.1454201951299,2.82908403902597,86.0319270239453,16,1140.01005788652,0,1,0.323414905912517,0
flat,low,24004,6,3738.75,14.1481735444696,2.35802892407827,87.2862029646522,16,1211.40634940907,1,1,8.37532381471198,0
flat,low,24004,7,3063.75,12.3701818871113,1.7671688410159,85.4047890535918,14,1214.35531759179,1,1,8.2051656433144,0
flat,low,24004,8,3245,13.2739282263221,1.65924102829027,86.2029646522235,15,1241.84344932375,1,1,8.28695242280298,0
flat,low,24004,9,3563.75,14.1360552015275,1.57067280016973,85.9749144811859,16,1310.02148748832,1,1,8.40658563703237,0
flat,low,24004,10,3957.5,15.0132241897445,1.50132241897445,86.7160775370582,17,1403.90060542089,1,1,8.55060863148007,0
flat,low,24004,11,4193.75,15.9323819515248,1.44839835922953,85.4618015963512,18,1482.94489570326,1,1,8.66844963786876,0
flat,low,24004,12,4412.5,16.7939553679383,1.39949628066153,86.2029646522235,19,1586.22085711941,1,1,8.79458598726115,0
flat,low,24005,1,5972.5,10.5731002379561,10.5731002379561,86.5352112676056,12,1114.0493755294,0,1,0.411065275001794,0
flat,low,24005,2,3830,11.4773449313078,5.73867246565392,85.4647887323944,13,1099.77896686105,0,1,0.156748394588989,0
flat,low,24005,3,3136.25,12.3674901440032,4.12249671466774,85.5211267605634,14,1107.33608439971,0,1,0.109073032755461,1
flat,low,24005,4,3051.25,13.2635689086025,3.31589222715062,85.0704225352113,15,1113.58124658517,1,1,8.1405981607102,0
flat,low,24005,5,2927.5,12.3754277116318,2.47508554232636,86.0281690140845,14,1169.65394545532,1,1,8.13030756555458,0
flat,low,24005,6,3101.25,12.3834927782584,2.06391546304307,86.1408450704225,14,1211.80536259481,1,1,8.18615672827822,0
flat,low,24005,7,3410,13.2481390030326,1.89259128614751,86.8732394366197,15,1293.14125126201,1,1,8.32630370000424,0
flat,low,24005,8,3101.25,13.248020494497,1.65600256181213,86.2535211267606,15,1251.14483302293,1,1,8.25317637911475,0
flat,low,24005,9,3553.75,14.1419201695383,1.57132446328204,85.4647887323944,16,1371.65869811187,1,1,8.44382097348935,0
flat,low,24005,10,3281.25,14.155377815621,1.4155377815621,85.8028169014084,16,1380.20311741679,1,1,8.41521835132231,0
flat,low,24005,11,4353.75,17.6757280414974,1.60688436740886,86.5915492957746,20,1439.80431667154,1,1,8.75101198094987,0
flat,low,24005,12,3775,15.9414143919071,1.32845119932559,86.5352112676056,18,1486.67604802813,1,1,8.63807630300428,0
flat,low,24006,1,5892.5,10.5802541391167,10.5802541391167,85.5536818437324,12,1061.77757156361,0,1,0.424034172483493,0
flat,low,24006,2,3820,11.477868604855,5.73893430242748,86.9589657110736,13,1030.39843613601,0,1,0.160879115035016,1
flat,low,24006,3,3345,13.2537893667963,4.4179297889321,85.8347386172007,15,1037.11741180835,0,1,0.198880629228554,0
flat,low,24006,4,3273.75,13.2612437623341,3.31531094058353,87.2400224845419,15,1030.00324982167,0,1,0.183959916503185,0
flat,low,24006,5,3030,13.2709208690581,2.65418417381161,85.5536818437324,15,1083.36470922298,0,1,0.190802579673019,0
flat,low,24006,6,3202.5,13.2508567054758,2.2084761175793,85.5536818437324,15,1151.06990333784,1,1,8.26499793071401,0
flat,low,24006,7,3748.75,14.1462772537036,2.02089675052909,86.1720067453626,16,1247.94940682609,1,1,8.46467421146776,0
flat,low,24006,8,3203.75,13.2513050789743,1.65641313487178,85.947161326588,15,1238.06772821715,1,1,8.33100303404933,0
flat,low,24006,9,3718.75,15.0359733353144,1.67066370392382,85.2726250702642,17,1304.24275305071,1,1,8.55280694407907,0
flat,low,24006,10,3543.75,14.1342876061256,1.41342876061256,85.0477796514896,16,1335.40769572046,1,1,8.50151121884242,0
