planner,HPC_mean,HPC_std,WHPC_mean,HPC_early_mean,mission_score,HPC_CI95,coverage_%,duration_steps,energy_J_per_UAVh,collision_mean,collision_std,near_miss_mean,N
iuef_em,100.0,0.0,100.0,0.0,0.106,"[100.0, 100.0]",16.71,175.3,13351167.3,0.0047,0.0062,0.0346,50
ablation_no_balance,100.0,0.0,100.0,0.0,0.173,"[100.0, 100.0]",16.41,266.4,6518792.4,0.0038,0.0066,0.0249,50
ablation_no_congestion,100.0,0.0,100.0,0.0,0.107,"[100.0, 100.0]",16.76,175.2,13343603.5,0.0048,0.0063,0.0365,50
ablation_no_priority,100.0,0.0,100.0,0.0,0.11,"[100.0, 100.0]",16.16,145.1,32995309.7,0.0085,0.0098,0.0501,50
ablation_no_astar,100.0,0.0,100.0,0.0,0.02,"[100.0, 100.0]",16.73,186.2,162152152.6,0.0046,0.0065,0.0382,50
